"","country","iso3c","date","confirmed","deaths","recovered","soc_dist","mov_rest","pub_health","gov_soc_econ","lockdown","apple_mtr_driving","apple_mtr_walking","apple_mtr_transit","gcmr_retail_recreation","gcmr_grocery_pharmacy","gcmr_parks","gcmr_transit_stations","gcmr_workplaces","gcmr_residential","gtrends_score","gtrends_country_score","region","income","population","land_area_skm","pop_density","pop_largest_city","life_expectancy","gdp_capita","timestamp"
"1","Afghanistan","AFG",2020-01-22,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"2","Afghanistan","AFG",2020-01-23,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"3","Afghanistan","AFG",2020-01-24,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"4","Afghanistan","AFG",2020-01-25,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"5","Afghanistan","AFG",2020-01-26,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"6","Afghanistan","AFG",2020-01-27,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"7","Afghanistan","AFG",2020-01-28,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"8","Afghanistan","AFG",2020-01-29,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"9","Afghanistan","AFG",2020-01-30,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"10","Afghanistan","AFG",2020-01-31,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"11","Afghanistan","AFG",2020-02-01,0,0,0,0,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"12","Afghanistan","AFG",2020-02-02,0,0,0,0,2,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"13","Afghanistan","AFG",2020-02-03,0,0,0,0,2,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"14","Afghanistan","AFG",2020-02-04,0,0,0,0,2,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"15","Afghanistan","AFG",2020-02-05,0,0,0,0,2,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"16","Afghanistan","AFG",2020-02-06,0,0,0,0,2,7,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"17","Afghanistan","AFG",2020-02-07,0,0,0,0,2,7,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"18","Afghanistan","AFG",2020-02-08,0,0,0,0,2,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"19","Afghanistan","AFG",2020-02-09,0,0,0,0,2,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"20","Afghanistan","AFG",2020-02-10,0,0,0,0,2,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"21","Afghanistan","AFG",2020-02-11,0,0,0,0,2,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"22","Afghanistan","AFG",2020-02-12,0,0,0,0,2,12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
"23","Afghanistan","AFG",2020-02-13,0,0,0,0,3,12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Asia","Low income",37172386,652860,56.937760009803,4011770,64.486,563.825662667794,2020-04-23 12:48:41
